event_slug,game_id,deaths,rez,rspn,knocks,times_knocked,ring_damage
playoffs_split1,52dd387d9d52ec001940a8c175437335,60,5,3,67,67,3086
playoffs_split1,55179bfa4b2b44f62ce1b324f0e384e5,61,12,4,73,69,2079
playoffs_split1,574fac10fc3bc60b78e8333d05933876,59,8,2,67,65,1683
playoffs_split1,587ddd6d293203ae16ce44958d7418e7,60,9,1,69,66,2134
playoffs_split1,5c807aa118775d3e9d5cda810ac98d5e,61,4,4,65,65,3606
playoffs_split1,60a2696c4d67a5838dce0a6d723f4aca,57,8,0,65,64,3136
playoffs_split1,644c8ec78231035b0c41d8a1de9c4a27,62,12,5,74,74,4178
playoffs_split1,666f82f8c25fbfa804def75afdf5ab7a,60,13,3,73,68,1514
playoffs_split1,681503e51cdeb07d91036f639b1989ac,58,8,1,65,63,3152
playoffs_split1,6c09947e631313635b38200dd2dee76c,62,12,5,74,68,2555
playoffs_split1,6d211519e7efd27f1e427880786b56ae,60,13,3,73,68,1671
playoffs_split1,71ecab877b29514cb78bb0ac13b446a9,59,8,2,67,64,3212
playoffs_split1,7581a23b2497504afb90fd6780dfd56b,58,5,1,63,64,975
playoffs_split1,76cb94a8211c3a0d35ae071a73d01144,59,4,2,63,62,1749
playoffs_split1,79329199f08f160ecfc40deb8a5325ab,57,6,0,64,63,3459
playoffs_split1,7a7d5f4217ee69a94ea250b74b0f5777,61,13,3,74,72,2921
playoffs_split1,8aba1f3d51379381c7980ba801f1fee8,58,8,1,66,63,3360
playoffs_split1,9def6396d610799f8d5af453dd8aebfc,61,4,4,65,65,4309
playoffs_split1,9ff4d4a2fcf78c6fd85f1e89fbbe74df,59,10,2,69,66,1189
playoffs_split1,ad548a579c107555c8a0fe3f750068cd,62,10,5,72,70,3189
playoffs_split1,b62b35ac64339fac0c3884dc11a51a6c,63,8,6,70,69,2822
playoffs_split1,b67f895a8a68e87842b3dc30860f0d60,58,13,1,73,68,2894
playoffs_split1,b935e55db3a07cf65f7d62448dacb8a3,59,18,2,77,75,2892
playoffs_split1,bdf1ff30c460fe0b123058cd8aff56c6,57,10,0,68,65,864
playoffs_split1,bf8884db762499d7b2b60ff61fb32a40,58,7,1,65,65,1370
playoffs_split1,c7407d2bafe18e142c8b13627e46e0be,61,8,2,69,64,2120
playoffs_split1,cb7cc7a3e0ef7a1a7ed051803ba87e58,60,11,3,71,69,3574
playoffs_split1,cb809251d2cf744346f7fdbd42e4c6df,63,7,6,70,68,1959
playoffs_split1,cda9394a052bf7225b7e41d935dbd641,62,12,5,73,72,2647
playoffs_split1,ce828921662811ef1a3b3528c431d08d,65,12,8,76,73,5647
playoffs_split1,d9a4c229b31837cac2033216ba955879,61,6,4,66,67,2118
playoffs_split1,dd70e5d4edcdf4ff052b44a3923199a3,60,5,3,65,65,4224
playoffs_split1,e324cc3ff8320c6287c58daba424baea,57,12,0,69,66,3652
playoffs_split1,ee55457bbf0e1e207fd7d9f865cb3719,58,11,1,71,69,1734
playoffs_split1,f1c203a2292263e20293bd288202b5b3,61,5,4,67,66,1371
playoffs_split1,f1d7a87f3b090b9bec8b408c43bb8214,58,10,1,70,68,3220
playoffs_split1,f3bda6de85e8aa884bbb1c5c8734ef76,59,5,2,64,62,2415
playoffs_split1,f41f2816be64ec813f9b263e19eed905,59,11,2,71,70,3774
playoffs_split1,f59a2d3f2ae6f35f5c7ee3d953321c03,58,10,1,68,66,4190
playoffs_split1,fa55aec6c52b4f25eb47efd5a58a2f6c,61,5,4,67,66,4099
playoffs_split2,01fc49af74473da1609b7569a66e8e66,57,12,0,69,65,1291
playoffs_split2,05542ba24da000e315920fbf9b058717,62,3,5,66,65,1538
playoffs_split2,05c0ae752bf73ac7c9c25627632cb813,61,6,4,67,66,1273
playoffs_split2,09e9acd966284f9c82e5de8050b0d783,60,11,3,71,67,3728
playoffs_split2,0c3ef259f70dcb9866e35b5b171f3eae,59,11,2,70,67,1365
playoffs_split2,0cf62b2688614083d5fbad66a0d3406c,62,10,5,72,68,2046
playoffs_split2,15d3c342772b7cbff858e8069566186b,62,10,5,72,70,1022
playoffs_split2,16f1993e38e3978c4265c644a16331a6,61,15,3,76,73,1886
playoffs_split2,1764d66cac0d2f34eb4883b70504757d,58,9,1,69,69,1734
playoffs_split2,19f54fbfdf5924a92d6922107de344d4,57,8,0,66,62,1815
playoffs_split2,26d36b9398e3ad85e5b5fe09e1bf47c9,60,9,3,69,66,1566
playoffs_split2,275e184bc5140025802488077fc1df1e,61,11,4,72,70,2764
playoffs_split2,2d1a672d5ac57f70dc86f1df5c4f1adc,66,9,9,75,73,4599
playoffs_split2,2eb300f0980cead7be55211819be7939,63,15,6,78,75,3075
playoffs_split2,33cabe80da75b2a309a08e3e1fc775c6,59,16,2,75,72,1658
playoffs_split2,34ed3a86afbb32903b7ba7d630d99473,61,9,4,70,68,1280
playoffs_split2,413a41086828b1d5e7e0b2abcb42eed8,59,4,2,63,63,4209
playoffs_split2,41ee6f522fb17eb8605ce47d4adb8883,62,9,5,70,70,1402
playoffs_split2,43690bdcfda972bc0dacf58dbc86de60,59,15,2,74,69,1696
playoffs_split2,43690bdcfda972bc0dacf58dbc86de61,0,12,0,0,0,0
playoffs_split2,4bfd142fc369e4e7736d3167c9eaea8a,58,8,1,66,64,3087
playoffs_split2,4fa747301a8fc06c079f1767bee830f4,62,5,5,67,66,1985
playoffs_split2,584ac0b907c3776a5d469b32ba778be5,58,14,1,73,71,1997
playoffs_split2,5bc265e64750021b1831786c74a8a330,65,15,8,80,78,2829
playoffs_split2,5ecc425684c64023c642044dd43b0ab2,61,12,4,75,74,2336
playoffs_split2,7014acc3af308cd9db884d890f93a06d,68,8,11,76,76,2624
playoffs_split2,735d09cf93f9b42a90c6d8965bf4a4fd,62,12,5,74,68,2863
playoffs_split2,7e39274b7b5b27dfb343b11e9fb865da,61,16,2,77,76,2211
playoffs_split2,8122288c0f5c26ad4b73bcdae2d9cd28,58,8,1,68,68,2738
playoffs_split2,81754abb0503eb06311a3bbafa25f08d,59,9,2,69,67,1020
playoffs_split2,83b1bc1985ec518f9fa7032711c83d5a,65,13,7,79,76,2606
playoffs_split2,8b4ceeb5adcfca91a75a8f1b9797be21,64,10,7,75,73,2560
playoffs_split2,8e1b900772a23f5acb722434e5693373,61,4,4,65,63,2432
playoffs_split2,939c15e589c7a6687d120215835c6a12,64,13,7,77,75,1690
playoffs_split2,96d9bbc5517920b7b2687901b0fa9aae,61,11,4,72,71,1878
playoffs_split2,986f3a13be407dbcc40920c364a264c6,62,12,5,75,74,2126
playoffs_split2,990603ebc9edc198ba4a2fc250f8e5f8,59,14,2,74,71,1957
playoffs_split2,9f1e8b0725d9c2993843addaa4f9c063,58,6,1,64,63,3418
playoffs_split2,a40fb6613ef1063a9479adb3852bca2c,61,12,4,75,73,1631
playoffs_split2,a60e525e9fab7c91c2d45c8035e39f47,59,5,2,64,64,1204
playoffs_split2,b3b35297421630842200bf7e68aaa4b0,61,12,4,73,66,1094
playoffs_split2,b3c848959709aea3195f56387c0305be,67,11,10,78,76,1879
playoffs_split2,b5df0cc1f03521b8c2564a71cce0c86a,60,5,3,65,65,2486
playoffs_split2,b88d16beacd6cd337fd52cecf97f5fe9,61,14,4,76,71,867
playoffs_split2,bb7acdeef2903fc4b67ad52f2144701b,59,5,2,64,61,2122
playoffs_split2,bbe91322df6dc782231cc645d3964492,62,11,5,75,77,2378
playoffs_split2,bf4cbae94db64a0b6c017e9a39a85b05,60,12,3,72,69,2260
playoffs_split2,bf5e31b88c974a124d635d20f7cb1d5c,63,10,6,73,73,2775
playoffs_split2,c197aa04f143902cc5c6b6a54f964c0a,65,12,8,78,76,2904
playoffs_split2,c2aa3ef50e53b415701b9ecc1969f26d,62,15,5,77,72,975
playoffs_split2,c4240a1a47a447b0211fe890126be2d8,64,8,7,72,68,2439
playoffs_split2,c923666269b3cec7fa1f450d34db80ff,60,7,3,68,66,2083
playoffs_split2,cc59dfd797138b087c12247858de9fe4,59,9,2,70,68,1118
playoffs_split2,d339d70a6632f4cadd8f847510752998,60,4,3,64,64,1484
playoffs_split2,d8d3e3af42ea6076f99c2f153645a499,62,14,5,76,75,2550
playoffs_split2,df24d0569352e6fc01e7f946858a93c6,63,7,6,70,70,4896
playoffs_split2,e40d569f968e209ca241360f0b56c3d1,59,10,2,69,66,1855
playoffs_split2,ec98a2ff483a41af7c7ff633642913ed,64,8,7,71,70,1884
playoffs_split2,ed7652f7430f69ca0efbdc7e448614cb,59,23,2,83,80,2160
playoffs_split2,f36bb9c443f279cc147060bcf6427e96,58,10,1,68,67,1931
playoffs_split2,f37fe83d56f8474fe379239bd2964815,63,16,6,78,74,2822
playoffs_split2,f84609efd55ce14512d9c36c26d876f5,63,12,6,77,75,2570
playoffs_split2,fcd0722e8809f9ec9311870feb1fbbbf,60,7,3,68,66,3684
playoffs_split2,fd165ca49f1ecc811ccc456c8301d6a9,58,8,0,66,66,2658
