event_slug,event_name,split,league,region,day,group,stage,game_label,game_number,map_name,game_id,stats_url,replay_url,title,source_url,source_scope,table_index,table_type,table_heading,row_number,pick_rate_pct,avg_placement,win_rate_pct,top_5_rate_pct,top_7_conversion_rate_pct,fwr_pct,total_occurrences,composition
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #4,4,Storm Point,4c1d2235d5e48ebdadfc97dd6beeaeca,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/4c1d2235d5e48ebdadfc97dd6beeaeca,https://apexlegendsstatus.com/algs/game/4c1d2235d5e48ebdadfc97dd6beeaeca,Finals - Game #4 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/4c1d2235d5e48ebdadfc97dd6beeaeca,game,2,composition_meta,Scores,9,5%,5,0%,100%,0%,50%,1,"Bangalore, Bloodhound, Pathfinder"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #5,5,World's Edge,88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/game/88e1e7c1632fe20dc94f1d805b35c5bb,Finals - Game #5 - World's Edge,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,game,2,composition_meta,Scores,1,30%,9.7,16.7%,33.3%,33.3%,54.8%,6,"Bangalore, Seer, Wattson"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #5,5,World's Edge,88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/game/88e1e7c1632fe20dc94f1d805b35c5bb,Finals - Game #5 - World's Edge,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,game,2,composition_meta,Scores,2,20%,8.5,0%,25%,0%,50%,4,"Bangalore, Fuse, Seer"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #5,5,World's Edge,88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/game/88e1e7c1632fe20dc94f1d805b35c5bb,Finals - Game #5 - World's Edge,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,game,2,composition_meta,Scores,3,20%,15.3,0%,0%,0%,18.8%,4,"Bangalore, Pathfinder, Wattson"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #5,5,World's Edge,88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/game/88e1e7c1632fe20dc94f1d805b35c5bb,Finals - Game #5 - World's Edge,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,game,2,composition_meta,Scores,4,10%,15,0%,0%,0%,41.7%,2,"Bangalore, Crypto, Wattson"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #5,5,World's Edge,88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/game/88e1e7c1632fe20dc94f1d805b35c5bb,Finals - Game #5 - World's Edge,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,game,2,composition_meta,Scores,5,5%,9,0%,0%,0%,62.5%,1,"Bangalore, Bloodhound, Horizon"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #5,5,World's Edge,88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/game/88e1e7c1632fe20dc94f1d805b35c5bb,Finals - Game #5 - World's Edge,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,game,2,composition_meta,Scores,6,5%,2,0%,100%,0%,66.7%,1,"Bangalore, Fuse, Wattson"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #5,5,World's Edge,88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/game/88e1e7c1632fe20dc94f1d805b35c5bb,Finals - Game #5 - World's Edge,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,game,2,composition_meta,Scores,7,5%,12,0%,0%,0%,33.3%,1,"Bangalore, Lifeline, Pathfinder"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #5,5,World's Edge,88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,https://apexlegendsstatus.com/algs/game/88e1e7c1632fe20dc94f1d805b35c5bb,Finals - Game #5 - World's Edge,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/88e1e7c1632fe20dc94f1d805b35c5bb,game,2,composition_meta,Scores,8,5%,4,0%,100%,0%,69.2%,1,"Bangalore, Fuse, Pathfinder"
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,Y4-Split1,EWC,Global,Day4,Finals,Finals,Game #6,6,Storm Point,1e5e3ecf2cfe3692fa563ddf4b6fd626,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/1e5e3ecf2cfe3692fa563ddf4b6fd626,https://apexlegendsstatus.com/algs/game/1e5e3ecf2cfe3692fa563ddf4b6fd626,Finals - Game #6 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Day4/Finals/1e5e3ecf2cfe3692fa563ddf4b6fd626,game,2,composition_meta,Scores,1,25%,5.8,0%,60%,0%,50%,5,"Bangalore, Seer, Wattson"
