event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,team,storm_point,world_s_edge,overall_max,storm_point_fastest,storm_point_fastest_avg,storm_point_avg,world_s_edge_fastest,world_s_edge_fastest_avg,world_s_edge_avg,overall_fastest,overall_fastest_avg,overall_avg,player,legend,perk,pick_rate_pct_per_legend,number_of_picks,level_2_blue,level_3_purple,level_4_red,col_1,pv_rank,player_value,carry_value,absolute_pv,kills_per_game,damage_per_game,damage_ratio,rank,tv,avg_placement,broken_moon,broken_moon_fastest,broken_moon_fastest_avg,broken_moon_avg,e_district,e_district_fastest,e_district_fastest_avg,e_district_avg
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,104,,,,,,,,,,,,,,MDYW FeiJu,,,,,,,,,104,-27.41,-4.23,-18.99,0.58,363.63,0.74,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,105,,,,,,,,,,,,,,NTH ReyzyGG,,,,,,,,,105,-27.56,-5.03,-19.55,0.63,368.88,0.68,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,106,,,,,,,,,,,,,,LG Slayr,,,,,,,,,106,-27.76,-23.81,-30.94,0.79,328.58,0.59,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,107,,,,,,,,,,,,,,WMN BoLin,,,,,,,,,107,-28.13,-16.60,-26.84,0.50,363.60,0.81,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,108,,,,,,,,,,,,,,RID Yukio,,,,,,,,,108,-28.79,-7.83,-21.97,0.75,274.58,0.72,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,109,,,,,,,,,,,,,,VP Wey,,,,,,,,,109,-29.54,-49.48,-47.41,0.50,368.44,0.76,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,110,,,,,,,,,,,,,,HAO Right,,,,,,,,,110,-29.96,0.26,-17.82,0.63,342.33,0.67,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,111,,,,,,,,,,,,,,SRN Buegy,,,,,,,,,111,-31.43,-51.33,-49.66,0.63,329.59,0.65,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,112,,,,,,,,,,,,,,MDYW MingYue,,,,,,,,,112,-32.07,-11.22,-25.97,0.54,329.46,0.72,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,113,,,,,,,,,,,,,,NTH YukaPEROdator,,,,,,,,,113,-33.21,-13.52,-28.04,0.46,367.25,0.69,,,,,,,,,,,
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,101,other,Scores,114,,,,,,,,,,,,,,COL KIMCHI,,,,,,,,,114,-33.43,-31.58,-39.00,0.37,354.97,0.81,,,,,,,,,,,
