event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,player,team,best_p,games,kills,assists,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_time_to_first_kill,top_10_pct,t10_to_t5_pct,t5_to_t1_pct
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,117,BLD Dropped,BLEED Esports,1st,34,50,29,56,42,"19,848","22,448","-2,600",396.96,"1,230",2,1,1.61,2.55,31,10h 34m 7s,,67.6%,47.8%,27.3%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,118,NTH Taida,NORTHEPTION,1st,30,24,14,34,35,"17,006","14,223","2,783",708.58,891,9,2,0.75,1.19,32,8h 14m 33s,,43.3%,38.5%,20%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,119,FUR ImMadness,FURIA,1st,34,38,52,44,40,"22,062","18,870","3,192",580.58,"1,213",3,7,1.12,2.65,34,10h 35m 28s,,61.8%,61.9%,23.1%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,120,FL Curihara,FENNEL,3rd,24,18,14,20,26,"10,363","12,848","-2,485",575.72,346,11,2,0.69,1.23,26,6h 24m 54s,,41.7%,30%,0%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,121,DF iHateTheWorld,DreamFire,1st,34,58,28,64,42,"29,009","21,011","7,998",500.16,"1,567",3,0,1.71,2.53,34,9h 14m 45s,,52.5%,42.9%,11.1%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,122,LGND StrafingFlame,Legends Gaming,1st,18,13,18,22,21,"11,290","11,014",276,868.46,210,1,3,0.72,1.72,18,4h 52m 38s,,60%,44.4%,12.5%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,123,LGND EzFlashKIDZ,Legends Gaming,1st,18,18,14,21,20,"9,459","8,944",515,525.5,376,2,0,1,1.78,18,4h 47m 51s,,60%,44.4%,12.5%
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,83,player_stats,Scores,1,VKG LqDuD,VK GAMING,1st,43,32,33,51,53,"27,784","27,750",34,868.25,"4,527",58,4,0.67,1.35,48,13h 35m 25s,17m 42s,65.1%,57.1%,6.3%
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,83,player_stats,Scores,2,TSM zap,TSM,1st,35,31,56,43,44,"28,090","28,440",-350,906.13,"1,295",3,0,0.91,2.56,34,10h 42m 55s,14m 2s,57.1%,45%,22.2%
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,83,player_stats,Scores,3,SR Emtee,ShopifyRebellion,1st,35,23,59,31,42,"27,932","24,871","3,061",1214.43,"2,110",21,1,0.72,2.56,32,11h 31m 39s,16m 14s,68.6%,54.2%,30.8%
