event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,team,games,best_p,avg_p,kills,place_pts,total_pts,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_fastest_first_kill,top_1s,top_2s,top_3s,top_5s,top_10s,top_15s,top_20s,top_10_pct,t10_to_t5_pct,t5_to_t1_pct,assists
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,22,MDY-White,24,4th,12.8,44,32,76,55,82,"27,049","32,260","-5,211",614.75,"2,691",10,3,0.59,1.24,75,17h 49m 33s,10m 3s,0,0,0,1,10,15,24,41.7%,10%,0%,49
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,23,WMNDY,30,1st,11.8,64,71,135,80,102,"35,844","38,705","-2,861",560.06,"3,816",13,7,0.68,1.36,94,20h 57m 15s,9m 39s,1,3,5,7,10,21,30,33.3%,70%,14.3%,64
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,24,Natus Vincere,30,1st,10.4,77,83,160,89,97,"38,900","44,265","-5,365",505.19,"7,428",8,6,0.86,1.73,90,23h 40m 43s,13m 36s,2,3,5,8,15,23,30,50%,53.3%,25%,79
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,25,KINOTROPE gaming,38,1st,10.4,104,117,221,123,132,"53,327","56,644","-3,317",512.76,"2,232",15,10,0.91,1.75,114,30h 18m 36s,10m 37s,4,4,6,14,18,27,38,47.4%,77.8%,28.6%,96
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,26,Oxygen Esports,24,2nd,9.5,63,61,124,75,82,"30,931","35,248","-4,317",490.97,"1,781",9,2,0.85,1.8,74,20h 56m 16s,12m 14s,0,1,1,7,15,19,24,62.5%,46.7%,0%,70
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,27,LG,38,1st,9.6,90,101,191,117,132,"54,265","64,261","-9,996",602.94,"7,063",18,6,0.77,1.56,117,31h 11m 24s,10m 4s,1,3,4,8,23,30,38,60.5%,34.8%,12.5%,92
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,28,Boogie Boarders,24,2nd,9.7,47,61,108,60,79,"38,489","34,376","4,113",818.91,480,6,2,0.64,1.14,74,20h 5m 46s,12m 10s,0,2,3,5,14,19,24,58.3%,35.7%,0%,37
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,29,NORTHEPTION,24,3rd,12.5,45,39,84,64,84,"28,173","32,771","-4,598",626.07,"5,521",11,5,0.58,1.3,77,17h 32m 43s,10m 16s,0,0,2,4,7,16,24,29.2%,57.1%,0%,55
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,30,OMiT,38,1st,9.8,102,110,212,122,119,"55,467","63,106","-7,639",543.79,"4,591",14,2,0.93,1.91,110,31h 52m 47s,12m 11s,2,3,6,9,21,31,38,55.3%,42.9%,22.2%,108
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,31,Disguised,38,1st,9.7,125,115,240,148,131,"69,014","66,224","2,790",552.11,"10,684",21,3,1.13,2.32,111,31h 58m 10s,11m 23s,2,4,7,11,20,30,38,52.6%,55%,18.2%,133
