event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,weapon_key,weapon,kills,damage,knockdowns,times_knocked,fwr_pct,shots,hits,accuracy,playtime,playtime_seconds,max_kill_range,max_damage_range,icon,stage,game_label,game_number,map_name,stats_url,replay_url,title,category,total_kills,total_damage,kill_share_pct,damage_share_pct
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Kraber,Kraber .50-Cal Sniper,23,11459,46.0,10.0,82.14,32.0,93.0,-,1h 12m 42s,4362,104.68,219.09,Kraber_.50-Cal_Sniper_Icon.svg,,,,,,,,Precision,3276,1795574,0.702075702075702,0.6381803256228927
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Volt,Volt SMG,500,180998,923.0,616.0,59.97,60295.0,13441.0,22.29%,28h 56m 25s,104185,81.97,230.08,Volt_SMG_Icon.svg,,,,,,,,SMG,3276,1795574,15.262515262515263,10.080230611492482
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Mozambique,Mozambique Shotgun,37,14268,70.0,51.0,57.85,1114.0,948.0,85.1%,1h 46m 4s,6364,82.06,90.94,Mozambique_Shotgun_Icon.svg,,,,,,,,Shotgun,3276,1795574,1.1294261294261294,0.7946205503087035
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,L-STAR,L-STAR EMG,42,10898,80.0,37.0,68.38,5025.0,766.0,15.24%,2h 6m 57s,7617,48.11,225.6,L-STAR_EMG_Icon.svg,,,,,,,,LMG,3276,1795574,1.2820512820512822,0.6069368346835051
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Prowler,Prowler Burst PDW,143,51216,266.0,176.0,60.18,20677.0,3768.0,18.22%,8h 59m 15s,32355,48.88,175.98,Prowler_Burst_PDW_Icon.svg,,,,,,,,SMG,3276,1795574,4.365079365079365,2.8523469375252706
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Alternator,Alternator SMG,52,18898,95.0,71.0,57.23,7981.0,1263.0,15.83%,3h 53m 50s,14030,51.41,193.88,Alternator_SMG_Icon.svg,,,,,,,,SMG,3276,1795574,1.5873015873015872,1.0524768124287833
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Flatline,VK-47 Flatline,125,85520,262.0,153.0,63.13,40015.0,5279.0,13.19%,23h 49m 44s,85784,170.22,301.07,VK-47_Flatline_Icon.svg,,,,,,,,AR,3276,1795574,3.815628815628816,4.762822362097023
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,ArcStar,Arc Star,51,27045,101.0,,,,881.0,-,0h 0m 0s,0,108.95,146.01,Arc_Star.svg,,,,,,,,Ordnance,3276,1795574,1.5567765567765568,1.5062035872651307
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,R-301,R-301 Carbine,37,27236,64.0,45.0,58.72,15282.0,2433.0,15.92%,7h 24m 52s,26692,133.58,385.41,R-301_Carbine_Icon.svg,,,,,,,,AR,3276,1795574,1.1294261294261294,1.5168408542337994
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,G7Scout,G7 Scout,46,53889,99.0,40.0,71.22,14583.0,1932.0,13.25%,15h 17m 21s,55041,168.44,338.1,G7_Scout_Icon.svg,,,,,,,,Precision,3276,1795574,1.404151404151404,3.0012129825894114
