event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,team,games,best_p,avg_p,kills,place_pts,total_pts,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_fastest_first_kill,top_1s,top_2s,top_3s,top_5s,top_10s,top_15s,top_20s,top_10_pct,t10_to_t5_pct,t5_to_t1_pct,assists,kill_share,placement_share,kills_per_game,place_pts_per_game,total_pts_per_game,top5_rate,top10_rate,style
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,31,Disguised,38,1st,9.7,125,115,240,148,131,69014,"66,224","2,790",552.11,"10,684",21,3,1.13,2.32,111,31h 58m 10s,11m 23s,2,4,7,11,20,30,38,52.6%,55%,18.2%,133,0.5208333333333334,0.4791666666666667,3.289473684210526,3.026315789473684,6.315789473684211,0.2894736842105263,0.5263157894736842,hybrid_high_yield
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,30,OMiT,38,1st,9.8,102,110,212,122,119,55467,"63,106","-7,639",543.79,"4,591",14,2,0.93,1.91,110,31h 52m 47s,12m 11s,2,3,6,9,21,31,38,55.3%,42.9%,22.2%,108,0.4811320754716981,0.5188679245283019,2.6842105263157894,2.8947368421052633,5.578947368421052,0.23684210526315788,0.5526315789473685,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,29,NORTHEPTION,24,3rd,12.5,45,39,84,64,84,28173,"32,771","-4,598",626.07,"5,521",11,5,0.58,1.3,77,17h 32m 43s,10m 16s,0,0,2,4,7,16,24,29.2%,57.1%,0%,55,0.5357142857142857,0.4642857142857143,1.875,1.625,3.5,0.16666666666666666,0.2916666666666667,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,28,Boogie Boarders,24,2nd,9.7,47,61,108,60,79,38489,"34,376","4,113",818.91,480,6,2,0.64,1.14,74,20h 5m 46s,12m 10s,0,2,3,5,14,19,24,58.3%,35.7%,0%,37,0.4351851851851852,0.5648148148148148,1.9583333333333333,2.5416666666666665,4.5,0.20833333333333334,0.5833333333333334,low_yield_or_unstable
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,36,wonton dumpling,30,1st,12.9,69,56,125,88,103,39254,"43,229","-3,975",568.9,"2,736",16,4,0.76,1.49,91,19h 25m 19s,9m 33s,1,2,3,6,10,16,30,33.3%,60%,16.7%,67,0.552,0.448,2.3,1.8666666666666667,4.166666666666667,0.2,0.3333333333333333,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,27,LG,38,1st,9.6,90,101,191,117,132,54265,"64,261","-9,996",602.94,"7,063",18,6,0.77,1.56,117,31h 11m 24s,10m 4s,1,3,4,8,23,30,38,60.5%,34.8%,12.5%,92,0.4712041884816754,0.5287958115183246,2.3684210526315788,2.6578947368421053,5.026315789473684,0.21052631578947367,0.6052631578947368,low_yield_or_unstable
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,20,Serenity,32,1st,8.8,83,114,197,96,105,51107,"49,280","1,827",615.75,"2,023",13,2,0.87,1.68,95,27h 42m 46s,12m 20s,1,5,8,14,19,27,32,59.4%,73.7%,7.1%,77,0.4213197969543147,0.5786802030456852,2.59375,3.5625,6.15625,0.4375,0.59375,zone_control_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,21,Never To Change,24,3rd,15.2,22,22,44,30,78,19335,"27,755","-8,420",878.86,700,7,0,0.31,0.63,72,13h 44m 21s,8m 56s,0,0,1,1,5,11,24,20.8%,20%,0%,23,0.5,0.5,0.9166666666666666,0.9166666666666666,1.8333333333333333,0.041666666666666664,0.20833333333333334,low_yield_or_unstable
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,22,MDY-White,24,4th,12.8,44,32,76,55,82,27049,"32,260","-5,211",614.75,"2,691",10,3,0.59,1.24,75,17h 49m 33s,10m 3s,0,0,0,1,10,15,24,41.7%,10%,0%,49,0.5789473684210527,0.42105263157894735,1.8333333333333333,1.3333333333333333,3.1666666666666665,0.041666666666666664,0.4166666666666667,edge_fighting_proxy
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,37,RIDDLE ORDER,24,2nd,12.5,40,48,88,55,78,27683,"32,006","-4,323",692.08,653,5,2,0.54,0.99,74,16h 50m 4s,9m 29s,0,3,3,5,10,12,24,41.7%,50%,0%,33,0.45454545454545453,0.5454545454545454,1.6666666666666667,2.0,3.6666666666666665,0.20833333333333334,0.4166666666666667,low_yield_or_unstable
